PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Holcim US,Switzerland/Holcim Ltd,"$121,500 ","$87,000 ","$34,500 "
Horizon Wind Energy,Portugal/EDP Renovaveis,$0 ,$0 ,$0 
HSBC North America,UK/HSBC Holdings,"$524,250 ","$257,000 ","$267,250 "
Iberdrola Renewables (Iberdrola SA),Spain/Iberdrola SA,"$22,000 ","$18,000 ","$4,000 "
Iberdrola USA (Iberdrola SA),Spain/Iberdrola SA,"$30,500 ","$20,500 ","$10,000 "
Indra Systems,Spain/Indra Systems SA,$0 ,$0 ,$0 
Infineon Technologies,Germany/Infineon Technologies AG,"$3,000 ","$3,000 ",$0 
ING US (ING Group),Netherlands/ING Group,"$108,000 ","$71,500 ","$36,500 "
Intelsat US (Serafina SA),Luxembourg/Serafina SA,"$30,500 ","$18,500 ","$12,000 "
International Power America,UK/International Power,$0 ,$0 ,$0 
International Securities Exchange,Germany/Deutsche Boerse,"$35,600 ","$19,100 ","$16,500 "
Jackson National Life Insurance,UK/Prudential PLC,"$71,000 ","$19,750 ","$51,250 "
JBS USA,Brazil/JBS SA,"$78,500 ","$25,000 ","$53,500 "
John Hancock Financial Services,Canada/Manulife Financial,"$103,000 ","$68,000 ","$35,000 "
LaFarge North America,France/Lafarge SA,"$61,500 ","$25,000 ","$36,500 "
Learjet Inc (Bombardier Inc),Canada/Bombardier Inc,"$4,000 ",$0 ,"$4,000 "
Lehigh Cement,Germany/HeidelbergCement AG,"$57,567 ","$32,000 ","$25,567 "
Lone Star Industries,Italy/Buzzi Unicem,$0 ,$0 ,$0 
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$104,750 ","$45,500 ","$59,250 "
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$171,500 ","$84,500 ","$87,000 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$39,000 ","$23,000 ","$16,000 "
McDermott International (McDermott International),Panama/McDermott International,"$25,000 ","$4,500 ","$20,500 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,"$92,600 ","$59,100 ","$33,500 "
Metallurg Vanadium Corp,Netherlands/AMG Advanced Metallurgical Group,$250 ,$250 ,$0 
Metro-Goldwyn-Mayer (Sony Corp),Japan/Sony Corp,$0 ,$0 ,$0 
Millennium Pharmaceuticals,Japan/Takeda Pharmaceutical Co,"$10,000 ","$7,500 ","$2,500 "
Miller Brewing (SABMiller),UK/SABMiller PLC,"$194,000 ","$99,500 ","$94,500 "
MillerCoors LLC (SABMiller),UK/SABMiller PLC,$0 ,$0 ,$0 
National Grid USA (National Grid plc),UK/National Grid plc,"$51,800 ","$36,300 ","$15,500 "
National Grid USA (National Grid plc),UK/National Grid plc,"$67,600 ","$52,150 ","$15,450 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$22,750 ","$5,250 ","$17,500 "
Nestle USA (Nestle SA),Switzerland/Nestle,"$15,900 ","$8,900 ","$7,000 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$15,500 ","$4,000 ","$11,500 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$359,050 ","$139,050 ","$220,000 "
Novartis Vaccines & Diagnostics (Novartis AG),Switzerland/Novartis AG,$0 ,$0 ,$0 
Novo Nordisk,Denmark/Novo Nordisk A/S,"$96,044 ","$56,544 ","$39,500 "
Oldcastle Materials,Ireland/CRH PLC,"$403,100 ","$205,100 ","$198,000 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$8,500 ","$3,000 ","$5,500 "
Pharmavite LLC,Japan/Otsuka Pharmaceutical,"$42,168 ","$23,668 ","$18,500 "
Philips Electronics North America (Philips Electronics),Netherlands/Philips Electronics,"$114,046 ","$39,296 ","$74,750 "
Philips Medical Systems (Philips Electronics),Netherlands/Philips Electronics,"($2,000)","($1,000)","($1,000)"
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$25,000 ","$5,000 ","$20,000 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$17,000 ","$11,000 ","$6,000 "
QBE Regional Insurance,Australia/QBE Insurance Group,$0 ,$0 ,$0 
Qimonda North America,Germany/Qimonda AG,"$7,500 ","$5,500 ","$2,000 "
QinetiQ North America (Qinetiq Group),UK/QinetiQ Group,"$33,800 ","$19,200 ","$14,600 "
RBC Centura Banks (Royal Bank of Canada),Canada/Royal Bank of Canada,$0 ,$0 ,$0 
Reebok International,Germany/adidas AG,$500 ,$500 ,$0 
Reed Elsevier Inc,UK/Reed Elsevier Group,"$121,300 ","$74,800 ","$46,500 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$3,000 ","$3,000 ",$0 
Research In Motion,Canada/Research in Motion,"$19,500 ","$11,000 ","$8,500 "
Rio Tinto America,UK/Rio Tinto Group,"$43,000 ","$19,000 ","$24,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$186,500 ","$72,500 ","$114,000 "
Sanofi-Aventis US (Sanofi-Aventis),France/Sanofi-Aventis,"$105,500 ","$59,500 ","$46,000 "
Sanofi-Pasteur Inc (Sanofi-Aventis),France/Sanofi-Aventis,"$52,000 ","$28,000 ","$24,000 "
Santander Bank (Banco Santander),Spain/Banco Santander,"$10,525 ","$6,525 ","$4,000 "
SAP America,Germany/SAP AG,"$150,500 ","$80,500 ","$70,000 "
Schaeffler Group USA,Germany/Schaeffler Group,"$5,800 ","$3,500 ","$2,300 "
Securitas Security Services USA,Sweden/Securitas AB,"$15,500 ","$6,000 ","$9,500 "
SES Americom (SES SA),Luxembourg/SES SA,"$16,500 ","$9,500 ","$7,000 "
Shell Oil,Netherlands/Royal Dutch Shell,"$75,000 ","$25,000 ","$50,000 "
Shire Pharmaceuticals,UK/Shire Plc,"$1,250 ",$250 ,"$1,000 "
SI International,UK/Serco Group,"$171,750 ","$81,500 ","$90,250 "
Siemens Corp (Siemens AG),Germany/Siemens AG,"$303,000 ","$177,500 ","$125,500 "
Skilled Healthcare Group (Onex Corp),Canada/Onex Corp,"$2,300 ","$2,300 ",$0 
Smith & Nephew,UK/Smith & Nephew Plc,"$28,300 ","$13,000 ","$15,300 "
Smiths Detection,UK/Smiths Group PLC,"$5,500 ","$4,000 ","$1,500 "
Sodexo Inc,France/Sodexo,"$34,500 ","$30,000 ","$4,500 "
Solvay Pharmaceuticals,Belgium/Solvay SA,"$177,500 ","$52,000 ","$125,500 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$205,500 ","$151,500 ","$54,000 "
Space Systems/Loral,UK/Loral Space & Communications,$0 ,$0 ,$0 
Sparta Inc (Cobham Holdings),UK/Cobham plc,"$57,100 ","$15,000 ","$42,100 "
Spirit Aerosystems (Onex Corp),Canada/Onex Corp,"$19,150 ","$3,500 ","$15,650 "
SSAB Enterprises,Sweden/SSAB AB,"$45,250 ","$22,500 ","$22,750 "
Sun Life Assurance of Canada (Sun Life Financial),Canada/Sun Life Financial,"$12,000 ","$10,000 ","$2,000 "
Swedish Match North America,Sweden/Swedish Match AB,"$58,075 ","$23,227 ","$34,848 "
Syngenta Corp,Switzerland/Syngenta AG,"$200,100 ","$92,500 ","$107,600 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$392,000 ","$215,500 ","$176,500 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$40,500 ","$18,000 ","$22,500 "
Teck Cominco American,Canada/Teck Cominco,$0 ,$0 ,$0 
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$27,350 ","$15,100 ","$12,250 "
Timex Group USA,Netherlands/Timex Group,$0 ,$0 ,$0 
Tyco International (Tyco International),Ireland/Tyco International,"$190,000 ","$109,500 ","$80,500 "
UBS Americas,Switzerland/UBS AG,"$842,500 ","$436,500 ","$406,000 "
Ultra Electronics Prologic,UK/Ultra Electronics,"$45,000 ","$44,000 ","$1,000 "
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$2,600 ","$2,600 ",$0 
United Water,France/SUEZ Environnement,"$13,150 ","$13,100 ",$50 
Universal Music Group (Vivendi Universal),France/Vivendi Universal,"$167,440 ","$98,040 ","$69,400 "
VT Halter Marine,Singapore/ST Engineering,"$7,000 ","$1,000 ","$6,000 "
Wackenhut Corp,Denmark/Group 4 Securicor,"$14,750 ","$5,000 ","$9,750 "
Weatherford US,UK/Weatherford International,"$1,000 ","$1,000 ",$0 
Westfield Corp,Australia/Westfield Group of Australia,"$22,158 ","$19,658 ","$2,500 "
Westinghouse Electric,Japan/Toshiba Corp,"$27,100 ","$10,000 ","$17,100 "
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,"$101,579 ","$59,579 ","$42,000 "
Willis North America,UK/Willis Group Holdings,"$18,000 ","$15,000 ","$3,000 "
XL America,UK/XL Capital,"$10,900 ","$8,600 ","$2,300 "
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$200,211 ","$93,211 ","$107,000 "
