PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Barclays Group US,UK/Barclays plc,"$87,000 ","$37,000 ","$47,500 "
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$85,500 ","$34,500 ","$51,000 "
BASF Corp,Germany/BASF SE,"$678,236 ","$217,750 ","$460,486 "
Baxalta (Shire PLC),Ireland/Shire Plc,"$17,500 ","$12,000 ","$5,500 "
Bayer Corp (Bayer AG),Germany/Bayer AG,"$480,000 ","$105,000 ","$375,000 "
BBVA Compass,Spain/Banco Bilbao Vizcaya Argentaria,"$251,625 ","$48,000 ","$203,625 "
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$35,632 ","$11,000 ","$24,632 "
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,$0 ,$0 ,$0 
BMO Harris Bank (Bank of Montreal),Canada/Bank of Montreal,"$56,200 ","$29,200 ","$27,000 "
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$213,000 ","$116,000 ","$97,000 "
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$43,500 ","$11,000 ","$32,500 "
BP North America,UK/BP PLC,"$414,500 ","$152,500 ","$262,000 "
Bridgestone Americas,Japan/Bridgestone Corp,"$34,500 ","$10,000 ","$24,500 "
Bumble Bee Foods,UK/Lion Capital,"$17,000 ","$6,000 ","$11,000 "
Buzzi Unicem USA,Italy/Buzzi Unicem SpA,"$2,000 ",$0 ,"$2,000 "
CalPortland Co,Japan/Taiheiyo Cement Co,"$76,500 ","$9,000 ","$67,500 "
Carmeuse Lime,Netherlands/Carmeuse SA,"$3,000 ",$0 ,"$3,000 "
Case New Holland,Netherlands/CNH Industrial,"$102,000 ","$7,500 ","$94,500 "
CEMEX Inc,Mexico/CEMEX SAB de CV,"$326,500 ","$62,500 ","$264,000 "
CGI Technologies & Solutions,Canada/CGI Group,"$69,000 ","$23,000 ","$46,000 "
Chicago Bridge & Iron,Netherlands/Chicago Bridge & Iron NV,"$153,500 ","$38,000 ","$115,500 "
Chubb Group of Insurance Companies (Chubb INA),Switzerland/Chubb Ltd,"$183,000 ","$71,500 ","$111,500 "
Chubb INA (Chubb INA),Switzerland/Chubb Ltd,"$164,600 ","$53,000 ","$111,600 "
Cobham Management Services,UK/Cobham PLC,"$197,750 ","$60,750 ","$137,000 "
Columbia Pipeline Group (TransCanada Corp),Canada/TransCanada Corp,"$186,000 ","$37,000 ","$149,000 "
Commonwealth-Altadis (Imperial Brands),UK/Imperial Tobacco Group,"$33,000 ","$2,500 ","$30,500 "
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$109,000 ","$41,500 ","$67,500 "
Covestro LLC (Bayer AG),Germany/Bayer AG,"$2,000 ",$0 ,"$2,000 "
Covidien US (Medtronic Inc),Ireland/Medtronic Plc,"$1,000 ",$0 ,"$1,000 "
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$382,950 ","$165,200 ","$217,750 "
CSL Behring,Australia/CSL Ltd,"$73,450 ","$18,250 ","$55,200 "
Cytec Engineered Materials (Solvay SA),Belgium/Solvay SA,"$4,700 ",$0 ,"$4,700 "
Daiichi Sankyo Inc,Japan/Daiichi Sanyko,"$121,000 ","$33,500 ","$87,500 "
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,$0 ,$0 ,$0 
Delhaize America,Belgium/Ahold Delhaize,"$14,500 ","$5,000 ","$9,500 "
Delphi Automotive,UK/Delphi Automotive,"$10,500 ","$2,000 ","$8,500 "
Deutsche Bank Securities,Germany/Deutsche Bank AG,"$46,700 ","$5,200 ","$41,500 "
DHL (Deutsche Post AG),Germany/Deutsche Post AG,"$3,000 ",$0 ,"$3,000 "
Diageo North America (Diageo PLC),UK/Diageo PLC,"$97,527 ","$40,174 ","$57,353 "
Direct Energy Inc,UK/Centrica Plc,"$3,000 ","$1,000 ","$2,000 "
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$69,950 ","$10,500 ","$59,450 "
EDF Renewable Energy,France/EDF Group,"$26,750 ","$15,750 ","$11,000 "
EDP Renewables NA,Portugal/EDP - Energias de Portugal,"$10,500 ","$5,000 ","$4,500 "
Eisai Inc,Japan/Eisai Co Ltd,"$56,000 ","$29,500 ","$26,500 "
Elbit Systems of America,Israel/Elbit Systems Ltd,"$59,250 ","$7,000 ","$52,250 "
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$49,500 ","$11,500 ","$38,000 "
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$32,700 ","$4,000 ","$28,700 "
EMD Serono Inc,Germany/Merck KGaA,"$94,000 ","$49,000 ","$45,000 "
Empower Retirement (Power Financial Corp),Canada/Power Financial Corp,"$20,200 ","$4,000 ","$16,200 "
EnCana Oil & Gas USA,Canada/EnCana Corp,"$4,000 ","$1,500 ","$2,500 "
Endo Pharmaceuticals,Ireland/Endo International,"$106,500 ","$24,000 ","$82,500 "
ENGIE North America,France/ENGIE,"$89,000 ","$27,500 ","$59,000 "
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$12,500 ","$3,000 ","$9,500 "
Essent US Holdings,UK/Essent Group,$0 ,$0 ,$0 
Essroc Corp,Italy/Italcementi Group,$500 ,$500 ,$0 
Experian,UK/Experian,"$573,500 ","$187,000 ","$386,500 "
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$400,222 ","$106,122 ","$294,100 "
Fincantieri Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$24,500 ","$5,500 ","$19,000 "
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$13,600 ","$13,600 ",$0 
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$178,500 ","$83,000 ","$95,500 "
G4S Secure Solutions,UK/G4S plc,"$17,700 ","$7,700 ","$10,000 "
Gavilon (Marubeni Corp),Japan/Marubeni Corp,"$28,000 ","$3,500 ","$24,500 "
GE Appliances,China/Haier Group,$0 ,$0 ,$0 
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$383,500 ","$171,000 ","$212,500 "
General Cigar Co,Sweden/Scandinavian Tobacco Group,"$16,000 ","$1,000 ","$15,000 "
Gerdau Ameristeel Corp,Brazil/Gerdau Inc,"$31,500 ","$16,500 ","$15,000 "
GKN Corp,UK/GKN PLC,"$9,500 ","$5,500 ","$4,000 "
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$850 ,$0 ,$850 
GlaxoSmithKline,UK/GlaxoSmithKline,"$431,000 ","$181,000 ","$250,000 "
Glover Park Group (WPP plc),UK/WPP plc,"$128,750 ","$82,000 ","$46,750 "
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$44,000 ","$13,250 ","$30,750 "
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,"$8,000 ","$6,000 ","$2,000 "
Greyhound Lines,UK/FirstGroup PLC,"$14,000 ","$2,500 ","$11,500 "
Heineken USA,Netherlands/L'Arche Green NV,"$50,000 ","$27,500 ","$22,500 "
Herbalife International of America,UK/Herbalife International,"$60,100 ","$30,500 ","$29,600 "
Hoffmann-La Roche (Roche Holdings),Switzerland/Roche Holdings,"$12,500 ","$4,000 ","$8,500 "
Holcim US (LafargeHolcim),Switzerland/LaFargeHolcim,"$74,750 ","$19,500 ","$55,250 "
Horizon Pharma USA,Ireland/Horizon Pharma PLC,"$17,200 ","$6,400 ","$10,800 "
HSBC North America,UK/HSBC Holdings,"$254,500 ","$98,000 ","$156,500 "
ICAP North America,UK/TP ICAP plc plc,"$22,500 ","$5,000 ","$17,500 "
Infineon Technologies,Germany/Infineon Technologies AG,"$1,500 ",$500 ,"$1,000 "
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$34,500 ","$6,000 ","$28,500 "
Intelsat US,Luxembourg/Intelsat Holdings,"$73,000 ","$25,500 ","$47,500 "
Intergraph Corp,Sweden/Hexagon AB,$0 ,$0 ,$0 
International Game Technology (B&D Holding Di Marco Drago e C Sapa),Italy/B&D Holding Di Marco Drago e C Sapa,"$15,000 ","$8,000 ","$7,000 "
International Game Technology (B&D Holding Di Marco Drago e C Sapa),Italy/B&D Holding Di Marco Drago e C Sapa,"$78,450 ","$30,500 ","$47,950 "
ITG Brands (Imperial Brands),UK/Imperial Brands,"$107,500 ","$16,000 ","$91,500 "
Jackson National Life Insurance,UK/Prudential PLC,"$196,500 ","$42,500 ","$154,000 "
JBS USA,Brazil/JBS SA,"$68,500 ","$7,000 ","$61,500 "
Jeld-Wen Inc (Onex Corp),Canada/Onex Corp,"$2,600 ",$0 ,"$2,600 "
John Hancock Life Insurance,Canada/Manulife Financial,"$97,000 ","$52,000 ","$45,000 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$343,500 ","$100,750 ","$242,750 "
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$21,500 ","$10,500 ","$11,000 "
Kawasaki Heavy Industries,Japan/Kawasaki Heavy Industries,$0 ,$0 ,$0 
Keystone Foods,Brazil/Marfrig Global Foods,$0 ,$0 ,$0 
LafargeHolcim (LafargeHolcim),France/Lafarge SA,"$11,000 ","$2,500 ","$8,500 "
Lehigh Hanson,Germany/HeidelbergCement AG,"$125,500 ","$12,000 ","$113,500 "
Leonardo DRS,Italy/Leonardo-Finmeccanica,"$233,000 ","$70,500 ","$162,500 "
Linde North America,Germany/Linde AG,"$54,000 ","$19,500 ","$34,500 "
Livanova Inc,UK/Livanova plc,"$11,000 ","$2,000 ","$9,000 "
Louis Dreyfus Co,Netherlands/Louis Dreyfus Group,"$37,400 ","$6,000 ","$31,400 "
Lundbeck Inc,Denmark/H Lundbeck A/S,"$51,000 ","$17,500 ","$33,500 "
LyondellBasell Industries,Netherlands/LyondellBasell Industries,"$117,500 ","$29,500 ","$88,000 "
M-E Companies,Canada/IBI Group,$0 ,$0 ,$0 
Maersk Inc (AP Moller-Maersk),Denmark/AP Moller-Maersk,"$61,500 ","$20,000 ","$41,500 "
Magna US,Canada/Magna International,"$2,000 ","$2,000 ",$0 
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$101,500 ","$24,000 ","$77,500 "
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$22,500 ","$8,000 ","$14,500 "
MBDA Inc,UK/MBDA,"$9,500 ",$0 ,"$9,500 "
Medimmune Inc (AstraZeneca PLC),UK/AstraZeneca PLC,$0 ,$0 ,$0 
Medtronic Inc (Medtronic Inc),Ireland/Medtronic Plc,"$366,500 ","$161,500 ","$205,000 "
MillerCoors LLC (Molson Coors Brewing),Canada/Molson Coors Brewing,"$166,500 ","$59,500 ","$107,000 "
Miraca Life Sciences,Japan/Miraca Holdings,"$13,500 ","$5,000 ","$8,500 "
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$14,900 ",$0 ,"$14,900 "
Morpho Detection (Safran Identity & Security),France/Safran Identity & Security,"$14,500 ","$5,500 ","$9,000 "
MorphoTrust USA (Safran Identity & Security),France/Safran Identity & Security,"$30,689 ","$6,689 ","$24,000 "
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,"$9,500 ","$6,000 ","$3,500 "
Munich American Reassurance,Germany/Munich Re Group,$0 ,$0 ,$0 
Mylan Inc,Netherlands/Mylan NV,"$68,000 ","$23,000 ","$45,000 "
Nammo Talley Inc,Norway/Nammo AS,"$9,250 ","$4,250 ","$5,000 "
National Cement Co,France/Vicat Group,"$5,400 ",$0 ,"$5,400 "
National Grid USA (National Grid plc),UK/National Grid plc,"$75,500 ","$50,500 ","$25,000 "
Natixis Global Asset Management,France/Groupe BPCE,"$14,500 ","$4,500 ","$10,000 "
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle SA,"$26,000 ","$5,000 ","$21,000 "
Nestle Waters North America (Nestle SA),Switzerland/Nestle,"$22,746 ","$10,246 ","$11,500 "
Nokia Solutions & Networks (Nokia Inc),Finland/Nokia,"$34,200 ","$9,500 ","$24,700 "
Nomura Holding America,Japan/Nomura Holdings,"$108,500 ","$43,500 ","$65,000 "
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$272,750 ","$137,500 ","$135,250 "
Novo Nordisk,Denmark/Novo Nordisk A/S,"$458,351 ","$194,852 ","$262,499 "
Novocure Inc,UK/Novocure,"$29,600 ",$0 ,"$29,600 "
Oldcastle Materials,Ireland/CRH PLC,"$352,230 ","$130,280 ","$221,950 "
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$33,000 ","$18,000 ","$15,000 "
Patheon Pharmaceuticals,Netherlands/Patheon NV,"$2,500 ",$0 ,"$2,500 "
Permobil Inc (Investor AB),Sweden/Investor AB,"$13,250 ","$2,500 ","$10,750 "
Pernod Ricard USA,France/Pernod Ricard SA,"$4,500 ","$2,500 ","$2,000 "
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,"$1,250 ",$750 ,$500 
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$72,093 ","$35,000 ","$37,093 "
Philips Electronics North America (Philips),Netherlands/Philips,"$64,500 ","$18,500 ","$46,000 "
PotashCorp,Canada/Potash Corporation of Saskatchewan,"$17,500 ","$1,500 ","$16,000 "
Prime Policy Group (WPP plc),UK/WPP plc,"$52,000 ","$17,000 ","$35,000 "
Private Bank Inc,Canada/Canadian Imperial Bank of Commerce,"$2,000 ",$0 ,"$2,000 "
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$47,900 ","$6,000 ","$41,900 "
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$23,030 ","$7,000 ","$16,030 "
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$51,800 ","$27,100 ","$24,700 "
RELX Inc,UK/RELX Group,"$213,117 ","$96,657 ","$116,460 "
Renewable Energy Systems Americas,UK/Renewable Energy Systems,"$14,400 ","$10,400 ","$4,000 "
Res-Care Inc (Onex Corp),Canada/Onex Corp,"$14,950 ","$3,000 ","$11,950 "
Resolute FP US,Canada/Resolute Forest Products,"$69,000 ","$16,000 ","$53,000 "
Rio Tinto America,UK/Rio Tinto Group,"$18,000 ","$3,500 ","$14,500 "
Roho Group (Investor AB),Sweden/Investor AB,"$8,250 ","$5,250 ","$3,000 "
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$245,825 ","$65,000 ","$180,825 "
Royal Ten Cate USA,Netherlands/Koninklijke Ten Cate,"$39,381 ","$7,881 ","$31,500 "
Safelite Group,Belgium/D'Ieteren SA,"$4,000 ",$0 ,"$4,000 "
Samsung Electronics America,South Korea/Samsung Group,$0 ,$0 ,$0 
Sanofi Genzyme (Sanofi),France/Sanofi,"$42,500 ","$35,500 ","$7,000 "
Sanofi US (Sanofi),France/Sanofi,"$566,475 ","$174,000 ","$392,475 "
Sanofi-Pasteur Inc (Sanofi),France/Sanofi,"$87,500 ","$23,000 ","$64,500 "
Santander Bank (Banco Santander),Spain/Banco Santander,$0 ,$0 ,$0 
SAP America,Germany/SAP SE,"$125,700 ","$77,500 ","$48,200 "
Securitas Security Services USA,Sweden/Securitas AB,"$23,500 ",$0 ,"$23,500 "
Serco Inc,UK/Serco Group,"$60,000 ","$25,000 ","$35,000 "
Shell Oil,Netherlands/Royal Dutch Shell,"$88,500 ","$15,000 ","$73,500 "
Shire Holdings US (Shire PLC),Ireland/Shire Plc,"$27,250 ","$12,250 ","$15,000 "
Shire Regenerative Medicine (Shire Plc),UK/Shire Plc,$0 ,$0 ,$0 
Siemens Corp,Germany/Siemens AG,"$250,430 ","$69,180 ","$181,250 "
Smith & Nephew,UK/Smith & Nephew Plc,"$64,000 ","$21,000 ","$43,000 "
Smithfield Foods,China/WH Group,"$93,650 ","$35,650 ","$58,000 "
Smiths Group Services Corp,UK/Smiths Group PLC,"$145,200 ","$51,000 ","$94,200 "
Sodexo Inc,France/Sodexo,"$4,500 ","$1,500 ","$3,000 "
Solvay America (Solvay SA),Belgium/Solvay SA,"$58,400 ","$29,000 ","$29,400 "
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$198,000 ","$105,000 ","$93,000 "
Space Systems/Loral,Canada/MacDonald Dettwiler & Assoc,"$3,500 ",$0 ,"$3,500 "
Sprint Communications (SoftBank Corp),Japan/Softbank Corp,"$250,000 ","$107,000 ","$142,000 "
SSAB Americas,Sweden/SSAB AB,"$25,500 ","$7,000 ","$18,500 "
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,"$9,000 ","$4,000 ","$5,000 "
Steris Corp,UK/Steris PLC,"$59,150 ","$17,250 ","$41,900 "
Suddenlink Communications (Altice NV),Netherlands/Altice NV,"$13,750 ","$1,500 ","$12,250 "
SUEZ Water,France/SUEZ Environnement,"$28,600 ","$11,000 ","$17,600 "
Sunovion Pharmaceuticals,Japan/Sumitomo Chemical,"$64,000 ","$27,500 ","$36,500 "
Sunpower Corp,France/Total SA,"$19,400 ","$13,700 ","$5,700 "
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$39,000 ","$5,500 ","$33,500 "
Swiss Re America,Switzerland/Swiss Reinsurance,"$71,500 ","$32,000 ","$39,500 "
Syngenta Corp,Switzerland/Syngenta AG,"$287,200 ","$87,000 ","$200,200 "
T-Mobile USA,Germany/Deutsche Telekom AG,"$432,250 ","$206,250 ","$223,000 "
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$86,500 ","$57,500 ","$29,000 "
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$23,000 ","$4,500 ","$18,500 "
TD Bank USA,Canada/Toronto-Dominion Bank,"$109,250 ","$47,500 ","$61,750 "
TE Connectivity,Switzerland/TE Connectivity,"$120,700 ","$37,000 ","$83,700 "
TECO Energy,Canada/Emera Inc,"$45,500 ","$4,500 ","$41,000 "
Terumo BCT,Japan/Terumo Corp,$0 ,$0 ,$0 
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$179,500 ","$82,500 ","$97,000 "
Toyota Motor North America,Japan/Toyota Motor Corp,"$598,500 ","$277,000 ","$321,500 "
TracFone Wireless,Mexico/America Movil,"$17,000 ","$8,000 ","$9,000 "
TransAmerica,Netherlands/Aegon NV,"$360,500 ","$154,000 ","$206,500 "
Transcanada USA Services (Transcanada Corp),Canada/TransCanada Corp,"$7,000 ","$2,000 ","$5,000 "
Travelport Inc,UK/Travelport Ltd,"$1,000 ",$0 ,"$1,000 "
Tronox Limited Alkali,Australia/Tronox Inc,"$16,000 ","$10,000 ","$6,000 "
UBS Americas,Switzerland/UBS AG,"$1,445,490 ","$676,240 ","$769,250 "
UCB Inc (UCB SA),Belgium/UCB SA,"$9,000 ","$3,000 ","$6,000 "
Ultra Electronics USA,UK/Ultra Electronics,"$24,500 ",$0 ,"$24,500 "
United Illuminating (Iberdrola SA),Spain/Iberdrola SA,"$4,000 ",$500 ,"$3,500 "
Universal Music Group (Vivendi),France/Vivendi,"$98,500 ","$45,500 ","$53,000 "
VT Halter Marine,Singapore/ST Engineering,"$4,500 ",$0 ,"$4,500 "
Weatherford US,UK/Weatherford International,$0 ,$0 ,$0 
Westfield Corp,Australia/Westfield Group of Australia,"$15,035 ","$10,035 ","$5,000 "
Westinghouse Electric,Japan/Toshiba Corp,"$117,700 ","$26,000 ","$91,700 "
Wexler & Walker Public Policy Assoc (WPP plc),UK/WPP plc,"$42,750 ","$11,000 ","$31,750 "
Willis North America,UK/Willis Towers Watson,"$6,500 ",$0 ,"$6,500 "
WSP Parsons Brinckerhoff,Canada/WSP Global,"$141,950 ","$78,950 ","$63,000 "
XL America,Ireland/XL Group PLC,$0 ,$0 ,$0 
ZF TRW Automotive (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,"$53,000 ","$17,000 ","$36,000 "
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Insurance Group,"$138,500 ","$54,500 ","$84,000 "
