PAC Name (Affiliate),Country of Origin/Parent Company,Total,Dems,Repubs
Standard Federal Bank (ABN AMRO),Netherlands/ABN Amro Holding,"$2,750 ",$0 ,"$2,750 "
Syngenta Corp,Switzerland/Syngenta AG,$0 ,$0 ,$0 
Syntex (USA) Inc (Roche Holdings),Switzerland/Roche Holdings,"$8,750 ","$6,250 ","$2,500 "
Tate & Lyle North American Sugars (Tate & Lyle),UK/Tate & Lyle,"$2,100 ","$2,100 ",$0 
Timex Corp,Netherlands/Timex Group,$0 ,$0 ,$0 
Tractebel,Belgium/Tractabel,"$2,000 ",$0 ,"$2,000 "
TransAmerica (Aegon NV),Netherlands/Aegon NV,"$31,000 ","$8,000 ","$23,000 "
UnionBanCal Corp,Japan/Mitsubishi UFJ Financial Group,"$9,750 ","$7,750 ","$2,000 "
United Water Resources (SUEZ SA),France/SUEZ SA,"$9,035 ","$7,450 ","$1,585 "
Universal Studios (Vivendi Universal),France/Vivendi Universal,"$148,750 ","$65,500 ","$83,250 "
US Surgical Corp (Tyco International),Ireland/Tyco International,"$7,100 ",$0 ,"$7,100 "
USFilter Corp (Vivendi Universal),France/Vivendi Universal,"$17,250 ","$15,000 ","$2,250 "
Vodafone Group,UK/Vodafone Group,"$49,850 ","$14,600 ","$35,250 "
Westfield Corp,Australia/Westfield Group of Australia,"$29,850 ","$19,350 ","$10,500 "
Westinghouse Electric (BNFL PLC),UK/BNFL PLC,"$27,000 ","$8,000 ","$19,000 "
Westinghouse Electric (BNFL PLC),UK/British Nuclear Fuels PLC,$250 ,$250 ,$0 
Wexler Group (WPP Group),UK/WPP Group,"$121,093 ","$53,000 ","$68,093 "
Zenith Electronics,South Korea/LG Electronics,$0 ,$0 ,$0 
Zurich Insurance (Zurich Financial Services),Switzerland/Zurich Financial Services,"$80,787 ","$25,250 ","$55,537 "
